GPSpt,Date,ShrCover1,GrassCover1,TreeCover1,SH1,SH2,SH3,SH4,SH5,GH1,GH2,GH3,GH4,GH5,ShrCover2,GrassCover2,TreeCover2,SH6,SH7,SH8,SH9,SH10,GH6,GH7,GH8,GH9,GH10,ShrCover3,GrassCover3,TreeCover3,SH11,SH12,SH13,SH14,SH15,GH11,GH12,GH13,GH14,GH15,Buildings,Notes
413,20150313,0,94,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,87,0,,,,,,2.8,2.8,2.8,2.8,2.8,16,0,7,,,,,,,ankle,,,ankle,2,
414,20150313,0,78,21,,,,,,shin,shin,ankle,ankle,ankle,0,96,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,96,0,,,,,,2.8,2.8,2.8,2.8,2.8,14,
415,20150313,0,100,0,,,,,,ankle,ankle,ankle,ankle,ankle,0,100,0,,,,,,2.6,2.6,2.6,2.6,2.6,0,81,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,
416,20150313,0,100,0,,,,,,ankle,ankle,ankle,ankle,ankle,0,99,0,,,,,,2.7,2.7,2.7,2.7,2.7,3,76,0,,,,,,,ankle,2.8,2.9,2.9,1,
418,20150221,0,100,0,,,,,,2.7,2.7,2.7,2.7,2.7,0,100,0,,,,,,2.7,2.7,2.7,2.7,2.7,0,95,100,,,,,,2.7,2.7,2.7,2.7,2.7,0,
419,20150221,0,100,0,,,,,,2.7,2.7,2.7,2.7,2.7,0,100,0,,,,,,2.7,2.7,2.7,2.7,2.7,0,95,100,,,,,,2.7,2.7,2.7,2.7,2.7,0,
420,20150221,0,95,0,,,,,,2.7,2.7,2.7,2.7,2.7,0,100,0,,,,,,2.7,2.7,2.7,2.7,2.7,0,100,0,,,,,,2.7,2.7,2.7,2.7,2.7,0,
421,20150221,0,95,0,,,,,,2.7,2.7,2.7,2.7,2.7,0,100,0,,,,,,2.7,2.7,2.7,2.7,2.7,0,100,0,,,,,,2.7,2.7,2.7,2.7,2.7,0,
422,20150221,0,95,0,,,,,,2.7,2.7,2.7,2.7,2.7,0,100,0,,,,,,2.7,2.7,2.7,2.7,2.7,0,100,0,,,,,,2.7,2.7,2.7,2.7,2.7,0,
423,20150221,0,90,0,,,,,,,2.6,2.6,2.6,2.6,0,100,0,,,,,,2.6,2.6,2.6,2.6,2.6,0,100,0,,,,,,2.6,2.6,2.6,2.6,2.6,0,
424,20150221,0,88,0,,,,,,,2.6,2.6,2.6,2.6,0,100,0,,,,,,2.6,2.6,2.6,2.6,2.6,0,100,0,,,,,,2.6,2.6,2.6,2.6,2.6,0,
425,20150221,0,92,0,,,,,,2.6,2.6,2.6,2.6,2.6,0,100,0,,,,,,2.6,2.6,2.6,2.6,2.6,0,100,0,,,,,,2.6,2.6,2.6,2.6,2.6,0,
427,20150224,0,30,0,,,,,,,,,ankle,2.7,0,96,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,84,17,,,,,,2.6,2.6,2.6,2.6,2.6,0,
428,20150224,0,100,0,,,,,,,,,,,0,100,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,100,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,
429,20150224,0,100,0,,,,,,,,,,,0,100,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,100,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,
430,20150224,0,100,0,,,,,,,,,,,0,100,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,100,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,
431,20150224,16,100,54,,,2.6,3.5,2.9,waist,waist,waist,,waist,11,100,0,3.5,2.9,0.7,1.4,,waist,waist,waist,waist,waist,0,91,0,,,,,,,2.7,2.7,2.7,2.5,0,
432,20150224,18,11,94,,1.7,2.1,1.6,1.4,chest,waist,,,,21,91,14,3.2,1.9,,,,waist,waist,waist,waist,waist,0,100,0,,,,,,2.6,2.6,2.6,2.6,2.6,0,
433,20150224,31,22,29,,,2.2,1.7,1.4,,ankle,chest,chest,ankle,42,16,68,,2.7,2.4,2.6,2.3,ankle,ankle,chest,chest,,0,100,0,,,,,,2.6,2.6,2.6,2.6,2.6,0,
434,20150224,3,100,4,,,1.9,,2.7,waist,waist,waist,waist,waist,21,70,31,1.7,1.6,3.2,1.6,2.4,chest,chest,chest,,,0,100,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,
435,20150224,0,21,0,,,,,,,ankle,,,ankle,0,100,0,,,,,,2.5,2.5,2.5,2.5,2.5,0,24,65,,,,,,,waist,knee,,,0,
436,20150221,0,100,0,,,,,,2.5,2.5,2.5,2.5,2.5,0,94,0,,,,,,0.9,2.9,2.9,2.9,2.9,0,91,0,,,,,,0.9,0.9,0.9,0.9,0.9,0,
437,20150221,0,100,0,,,,,,2.5,2.5,2.5,2.5,2.5,11,96,16,,,,,,waist,waist,2.7,2.7,waist,7,94,23,,,,,,ankle,waist,chest,2.6,waist,0,
438,20150221,0,100,0,,,,,,2.5,2.5,2.5,2.5,2.5,16,91,26,,,,,,waist,2.5,2.5,2.5,waist,9,89,17,,,,,,waist,2.5,2.5,2.5,waist,0,
439,20150221,0,100,0,,,,,,3,3,3,3,3,0,100,0,,,,,,3,3,3,3,3,0,100,0,,,,,,3,3,3,3,3,0,
440,20150221,7,50,30,,,2.7,,,,shin,knee,knee,knee,0,100,0,,,,,,2.3,2.3,2.3,2.3,2.3,0,100,0,,,,,,2,2.3,2.3,2.3,2.3,0,
441,20150221,0,100,0,,,,,,2.5,2.5,2.5,2.5,2.5,4,100,0,,2.5,,,,waist,2.5,2.5,2.5,waist,0,100,0,,,,,,waist,waist,head,head,head,0,
442,20150224,1,30,4,,,,2.7,,2.3,,,ankle,ankle,0,0,0,,,,,,,,,,,0,97,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,
443,20150221,0,100,0,,,,,,shin,2.6,2.6,2.6,2.6,0,100,0,,,,,,2.6,2.6,2.6,2.6,2.6,3,100,0,,,2.4,,,ankle,ankle,waist,head,head,0,
444,20150221,0,100,0,,,,,,2.8,2.8,2.8,2.8,2.8,0,100,0,,,,,,2.7,2.7,2.7,2.7,2.7,0,97,0,,,,,,ankle,ankle,2.7,2.7,2.7,0,
445,20150221,11,78,88,0.9,1.4,1.2,0.6,1,shin,waist,knee,shin,shin,0,100,0,,,,,,2.6,2.6,2.6,2.6,2.6,0,100,0,,,,,,2.6,2.6,2.6,2.6,2.6,0,
